Smiles,nM-value,vVirus name
CCCCCCCCCCCCSCCCCCCCCCCCCC(=O)NCCCCCCCCCCC(=O)NCCC(=O)[O-].[Na+],62219.64983,Hantaan virus
CCCCCCCCCCCCSCCCCC(=O)NCCCCCCCCCCC(=O)NCCC(=O)[O-].[Na+],86373.68712,Hantaan virus
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,2500,Hantaan virus
CO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1C(=O)c1cnc2sc(C(=O)c3ccccc3)cn12,18500,Hantaan virus
CO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1C(=O)c1cnc2sc(C(=O)c3ccc(Br)cc3)cn12,1100,Hantaan virus
CO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1C(=O)c1cnc2sc(C(=O)c3ccc(Cl)cc3)cn12,800,Hantaan virus
CO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1C(=O)c1cnc2sc(C(=O)c3ccc(F)cc3)cn12,78300,Hantaan virus
CC(=O)O[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1C(=O)c1cnc2sc(C(=O)c3ccccc3)cn12,7900,Hantaan virus
CC(=O)O[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1C(=O)c1cnc2sc(C(=O)c3ccc(Br)cc3)cn12,5600,Hantaan virus
CC(=O)O[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1C(=O)c1cnc2sc(C(=O)c3ccc(Cl)cc3)cn12,7500,Hantaan virus
CC(=O)O[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1C(=O)c1cnc2sc(C(=O)c3ccc(F)cc3)cn12,4900,Hantaan virus
CO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1C(=O)c1cn2cc(C(=O)c3ccccc3)nc2s1,12300,Hantaan virus
CO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1C(=O)c1cn2cc(C(=O)c3ccc(Br)cc3)nc2s1,4300,Hantaan virus
CO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1C(=O)c1cn2cc(C(=O)c3ccc(Cl)cc3)nc2s1,11900,Hantaan virus
CO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1C(=O)c1cn2cc(C(=O)c3ccc(F)cc3)nc2s1,2900,Hantaan virus
Nc1ncc(Br)c2c1ncn2[C@@H]1C=C(CO)[C@@H](O)[C@H]1O,94,Hantaan virus
NC(=O)c1nc(F)cnc1O,5000,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4ccc(C(C)C)cc4)ccc32)cc1,0.62,Hantaan virus
CCOc1ccc(-c2c[nH]c3cc(NCc4ccc(CC)cc4)ccc23)cc1,12,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)cc4)cnc32)cc1,7.9,Hantaan virus
CCOc1ccc(-n2nnc3cc(NCc4ccc(CC)cc4)cnc32)cc1,14,Hantaan virus
CCOc1ccc(-n2cnc3cc(CNc4ccc(CC)cc4)ccc32)cc1,5,Hantaan virus
COc1ccc(-n2cnc3cc(N(Cc4ccc(C(C)C)cc4)S(=O)(=O)c4ccc(C)cc4)ccc32)cc1,16,Hantaan virus
COc1ccc(CNc2ccc3c(c2)ncn3-c2ccc(OC)cc2)cc1,7.7,Hantaan virus
C/C(=N\NC(=O)[C@@H]1C[C@H]1c1ccccc1)c1ccc(NC(=O)c2ccco2)cc1,800,Hantaan virus
CCCCCCCCCCCCSCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N(CC)CCCCCCCCCCC(=O)[O-].[Na+],21537.5669,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4ccc(C)cc4)ccc32)cc1,0.2,Hantaan virus
OCc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)nn1,50700,Hantaan virus
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,470,Hantaan virus
CC1(C)O[C@@H]2[C@H](O1)[C@@H](Cn1cc(COC[C@H]3OC(O)[C@H](O)[C@@H](O)[C@H]3O)nn1)O[C@H]2n1cc(COCC(COCc2cn([C@@H]3O[C@H](Cn4cc(COC[C@H]5OC(O)[C@H](O)[C@@H](O)[C@H]5O)nn4)[C@H]4OC(C)(C)O[C@H]43)nn2)(COCc2cn([C@@H]3O[C@H](Cn4cc(COC[C@H]5OC(O)[C@H](O)[C@@H](O)[C@H]5O)nn4)[C@H]4OC(C)(C)O[C@H]43)nn2)COCc2cn([C@@H]3O[C@H](Cn4cc(COC[C@H]5OC(O)[C@H](O)[C@@H](O)[C@H]5O)nn4)[C@H]4OC(C)(C)O[C@H]43)nn2)nn1,116600,Hantaan virus
CCCCn1cc(COC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@H]2O)nn1,112900,Hantaan virus
C=CCn1c2ccccc2c(=O)c2ccc(Cl)cc21,2500,Hantaan virus
CC1(C)O[C@@H]2[C@H](O1)[C@@H](CO)O[C@H]2n1cc(CO)nn1,51300,Hantaan virus
CC1(C)O[C@H]2[C@H](OCc3cn(CC(Cn4cc(CO[C@@H]5O[C@H](Cn6cc(COC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO)nn6)[C@H]6OC(C)(C)O[C@@H]56)nn4)(Cn4cc(CO[C@@H]5O[C@H](Cn6cc(COC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO)nn6)[C@H]6OC(C)(C)O[C@@H]56)nn4)Cn4cc(CO[C@@H]5O[C@H](Cn6cc(COC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO)nn6)[C@H]6OC(C)(C)O[C@@H]56)nn4)nn3)O[C@H](Cn3cc(COC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO)nn3)[C@H]2O1,314000,Hantaan virus
CCCCn1cc(CO[C@@H]2O[C@H](CN=[N+]=[N-])[C@H]3OC(C)(C)O[C@@H]23)nn1,13200,Hantaan virus
CC(=O)OC[C@H]1O[C@@H](n2cc(CO)nn2)[C@H](OC(C)=O)[C@@H]1OC(C)=O,129600,Hantaan virus
CCCCn1cc(CO[C@@H]2O[C@H](CO)[C@H]3OC(C)(C)O[C@@H]23)nn1,55900,Hantaan virus
OC1O[C@H](COCc2cn(CC(Cn3cc(COC[C@H]4OC(O)[C@H](O)[C@@H](O)[C@H]4O)nn3)(Cn3cc(COC[C@H]4OC(O)[C@H](O)[C@@H](O)[C@H]4O)nn3)Cn3cc(COC[C@H]4OC(O)[C@H](O)[C@@H](O)[C@H]4O)nn3)nn2)[C@H](O)[C@H](O)[C@H]1O,313600,Hantaan virus
CC1(C)O[C@H]2[C@H](OCc3cn(CC(Cn4cc(CO[C@@H]5O[C@H](CO)[C@H]6OC(C)(C)O[C@@H]56)nn4)(Cn4cc(CO[C@@H]5O[C@H](CO)[C@H]6OC(C)(C)O[C@@H]56)nn4)Cn4cc(CO[C@@H]5O[C@H](CO)[C@H]6OC(C)(C)O[C@@H]56)nn4)nn3)O[C@H](CO)[C@H]2O1,33400,Hantaan virus
CCCCn1cc(CO[C@@H]2O[C@H](Cn3cc(COC[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO)nn3)[C@H]3OC(C)(C)O[C@@H]23)nn1,208700,Hantaan virus
C=CCn1c2cc(Cl)ccc2c(=O)c2cccc(OC)c21,2500,Hantaan virus
CCCCn1cc(CO[C@@H]2O[C@H](Cn3cc(COC[C@H]4OC(O)[C@H](O)[C@@H](O)[C@H]4O)nn3)[C@H]3OC(C)(C)O[C@@H]23)nn1,20600,Hantaan virus
CC(C)Oc1ccc(-c2ccc3ncn(-c4ccc(OC(C)C)cc4)c3n2)cc1,3.66,Hantaan virus
CC(C)Oc1ccc(-c2ccn3cnc(-c4ccc(OC(C)C)cc4)c3c2)cc1,21.77,Hantaan virus
CC(C)Oc1ccc(-c2ccc3ncc(-c4ccc5[nH]ccc5c4)n3c2)cc1,0.73,Hantaan virus
CC(C)Oc1ccc(-c2ncc3ncn(-c4ccc(OC(C)C)cc4)c3n2)cc1,3.1,Hantaan virus
CC(C)Oc1ccc(-c2cnc3ccc(-c4ccc(OC(C)(C)O)cc4)cn23)cc1,0.54,Hantaan virus
Cc1c(-c2ccc(OC(C)C)cc2)ccc2ncc(-c3ccc(OC(C)C)cc3)n12,0.17,Hantaan virus
CC(=O)c1ccc(-c2ccc3ncc(-c4ccc(OC(C)C)cc4)n3c2)cc1,0.62,Hantaan virus
CC(C)Nc1ccc(-c2ccc3ncc(-c4ccc(OC(C)C)cc4)n3c2)cc1,0.16,Hantaan virus
CC(C)Oc1ccc(-c2ccc3ncc(-c4ccc(OC(C)C)cc4)n3n2)cc1,0.94,Hantaan virus
CC(C)Oc1ccc(-c2ccc3ncc(-c4ccc(OC(C)(C)O)cc4)n3c2)cc1,0.21,Hantaan virus
CC(C)Oc1ccc(-c2cnc3ccc(-c4ccc(OC(C)(C)C)cc4)cn23)cc1,0.12,Hantaan virus
CC(C)OC(=O)c1ccc(-c2ccc3ncc(-c4ccc(OC(C)C)cc4)n3c2)cc1,0.64,Hantaan virus
Cc1cc2nnn(-c3ccc(OC(C)C)cc3)c2cc1-c1ccc(OC(C)C)cc1,0.21,Hantaan virus
CC(C)Oc1ccc(-c2cnc3ccc(-c4ccc(OC(F)F)cc4)cn23)cc1,4.62,Hantaan virus
CC(C)Oc1ccc(-c2ccc3nnn(-c4ccc(OC(C)C)cc4)c3c2)cc1,0.72,Hantaan virus
CC(C)Oc1ccc(-c2ccc3ncc(-c4ccc(OC(C)C)nc4)n3c2)cc1,0.59,Hantaan virus
CC(C)Oc1ccc(-c2ccc3ncc(-c4ccc(OC(C)(C)C)cc4)n3c2)cc1,0.06,Hantaan virus
Cc1cc2ncc(-c3ccc(OC(C)C)cc3)n2cc1-c1ccc(OC(C)C)cc1,0.16,Hantaan virus
CC(C)Oc1ccc(-c2cnc3ccc(-c4ccc(O)cc4)cn23)cc1,7.02,Hantaan virus
CC(C)Oc1ccc(-c2ccc3ncn(-c4ccc(OC(C)C)cc4)c3c2)cc1,0.12,Hantaan virus
CC(C)Oc1ccc(-c2cnc3ccc(-c4ccc(OC5CC5)cc4)cn23)cc1,1.17,Hantaan virus
CC(C)Oc1ccc(-c2cnc3ccc(-c4ccc5[nH]ccc5c4)cn23)cc1,1.07,Hantaan virus
COc1cc2ncc(-c3ccc(OC(C)C)cc3)n2cc1-c1ccc(OC(C)C)cc1,2.38,Hantaan virus
CC(C)Oc1ccc(-c2cnc3ncc(-c4ccc(OC(C)C)cc4)n3c2)cc1,0.34,Hantaan virus
CC(C)Oc1ccc(-c2cnc3ccc(-c4ccc(OC(C)C)nc4)cn23)cc1,1.33,Hantaan virus
CC(C)Oc1ccc(-c2cn3c(-c4ccc(OC(C)C)cc4)cnc3cn2)cc1,2.6,Hantaan virus
CC(C)Oc1ccc(-c2cnc3ccc(-c4ccc(C5(N)CC5)cc4)cn23)cc1,2.85,Hantaan virus
CC(C)Oc1ccc(-c2cnc3ccc(-c4cnn(C5CC5)c4)cn23)cc1,6.38,Hantaan virus
CC(C)Oc1ccc(-c2ccc3nnc(-c4ccc(OC(C)C)cc4)n3c2)cc1,1,Hantaan virus
CC(C)Oc1ccc(-c2ccc3cnn(-c4ccc(OC(C)C)cc4)c3c2)cc1,13.98,Hantaan virus
CC(C)Oc1ccc(-c2cc3c(cn2)ncn3-c2ccc(OC(C)C)cc2)cc1,4.39,Hantaan virus
Cc1cc(-c2ccc(OC(C)C)cc2)cn2c(-c3ccc(OC(C)C)cc3)cnc12,4.65,Hantaan virus
CC(C)Oc1ccc(-c2ccc3ncc(-c4cccc(OC(C)C)c4)n3c2)cc1,11.7,Hantaan virus
Cc1cc(OC(C)C)ccc1-c1ccc2ncc(-c3ccc(OC(C)C)cc3)n2c1,0.31,Hantaan virus
CC(C)Oc1ccc(-c2ccc3ncc(-c4ccc(OC5CC5)cc4)n3c2)cc1,0.65,Hantaan virus
CC(=O)c1ccc(-c2cnc3ccc(-c4ccc(OC(C)C)cc4)cn23)cc1,1.6,Hantaan virus
CC(C)Oc1ccc(-c2ccc3[nH]nc(-c4ccc(OC(C)C)cc4)c3c2)cc1,3.22,Hantaan virus
Cc1cc2ncc(-c3ccc(OC(C)(C)C)cc3)n2cc1-c1ccc(OC(C)C)cc1,0.3,Hantaan virus
Cc1cc2ncn(-c3ccc(OC(C)C)cc3)c2cc1-c1ccc(OC(C)C)cc1,0.11,Hantaan virus
Cc1cc(-c2ccc3ncc(-c4ccc(OC(C)C)cc4)n3c2)ccc1OC(C)C,0.19,Hantaan virus
CC(C)Oc1ccc(-c2cn3c(-c4ccc(OC(C)C)cc4)cnc3cc2C#N)cc1,0.22,Hantaan virus
Cc1cc2ncn(-c3ccc(OC(C)(C)C)cc3)c2cc1-c1ccc(OC(C)(C)O)cc1,0.9,Hantaan virus
CC(C)Oc1ccc(-c2ccc3ncc(-c4ccc(OC(C)C)cc4)n3c2)cc1,0.31,Hantaan virus
CC(C)Oc1ccc(-c2ccc3ccn(-c4ccc(OC(C)C)cc4)c3c2)cc1,0.89,Hantaan virus
COCCN1CN(C2c3ccccc3CCc3ccccc32)n2cc(C(=O)O)c(=O)c(O)c2C1=O,5,Hantaan virus
Cc1ccc2c(c1)C(N1CN(C(C)C)C(=O)c3c(O)c(=O)c(C(=O)O)cn31)c1cc(C)ccc1CC2,176,Hantaan virus
Nc1ncnn2c([C@@H]3N[C@H](CO)[C@@H](O)[C@H]3O)ccc12,280,Hantaan virus
CC(C)N1CN(Cc2ccccc2-c2ccccc2)n2cc(C(=O)O)c(=O)c(O)c2C1=O,437,Hantaan virus
O=C(Nc1nnn[nH]1)c1cn2c(c(O)c1=O)C(=O)N(CC1CC1)CN2C1c2ccccc2CCc2ccccc21,404,Hantaan virus
O=C(NO)c1cn2c(c(O)c1=O)C(=O)N(CC1CC1)CN2C1c2ccccc2CCc2ccccc21,120,Hantaan virus
O=C(O)c1cn2c(c(O)c1=O)C(=O)N(CC1CCCC1)CN2C1c2ccccc2CCc2ccccc21,25,Hantaan virus
Cc1cccc2c1CCc1c(C)cccc1C2N1CN(C(C)C)C(=O)c2c(O)c(=O)c(C(=O)O)cn21,3.1,Hantaan virus
CCN1CN(C2c3ccccc3CCc3ccccc32)n2cc(C(=O)O)c(=O)c(O)c2C1=O,3.3,Hantaan virus
CC(C)N1CN(C2c3ccccc3CCc3ccccc32)n2cc(C(=O)O)c(=O)c(O)c2C1=O,2.4,Hantaan virus
CC(C)N1CN(C2c3ccccc3CSc3ccccc32)n2cc(C(=O)O)c(=O)c(O)c2C1=O,3.6,Hantaan virus
COC(=O)c1cn2c(c(O)c1=O)C(=O)N(CC1CC1)CN2C1c2ccccc2CCc2ccccc21,271,Hantaan virus
O=C(O)c1cn2c(c(O)c1=O)C(=O)N(C1CC1)CN2C1c2ccccc2CCc2ccccc21,13.4,Hantaan virus
O=C(O)c1cn2c(c(O)c1=O)C(=O)N(CC1CC1)CN2C1c2ccccc2CCc2ccccc21,5.8,Hantaan virus
CN1CN(C2c3ccccc3CCc3ccccc32)n2cc(C(=O)O)c(=O)c(O)c2C1=O,9.2,Hantaan virus
O=C(O)c1cn2c(c(O)c1=O)C(=O)N(CC1CCCCC1)CN2C1c2ccccc2CCc2ccccc21,20,Hantaan virus
Cc1ccc2c(c1)CCc1cc(C)ccc1C2N1CN(C(C)C)C(=O)c2c(O)c(=O)c(C(=O)O)cn21,34,Hantaan virus
O=C1c2c(O)c(=O)c(-c3noc(=O)[nH]3)cn2N(C2c3ccccc3CCc3ccccc32)CN1CC1CC1,189,Hantaan virus
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,1700,Hantaan virus
C=CSC[C@H]1OC(n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,65000,Hantaan virus
C/C(O)=C(/C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,16000,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4ccco4)ccc32)cc1,1200,Hantaan virus
NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1,500,Hantaan virus
COc1ccc(-n2cnc3cc(NCc4ccc(C(C)C)cc4)ccc32)cc1,1.4,Hantaan virus
CCOc1ccc(-n2c(N)nc3cc(NCc4ccc(CC)cc4)ccc32)cc1,29,Hantaan virus
CCOc1ccc(-n2c(O)nc3cc(NCc4ccc(CC)cc4)ccc32)cc1,1800,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)cc4)cc(C(=O)OC)c32)cc1,220,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)cc4)cc(N)c32)cc1,620,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCCc4ccc(CC)cc4)cnc32)cc1,65,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCCCc4ccc(CC)cc4)cnc32)cc1,210,Hantaan virus
CCOc1ccc(-n2cnc3cc(/N=C/c4ccc(CC)cc4)cnc32)cc1,4300,Hantaan virus
CCOc1ccc(Cn2cnc3cc(NCc4ccc(CC)cc4)cnc32)cc1,1600,Hantaan virus
CCc1ccc(CNc2cnc3c(c2)ncn3-c2ccc(O)cc2)cc1,19,Hantaan virus
CCc1ccc(CNc2cnc3c(c2)ncn3-c2ccc(OCCCO)cc2)cc1,13,Hantaan virus
CCc1ccc(CNc2cnc3c(c2)ncn3-c2ccc(OCCN(C)C)cc2)cc1,80,Hantaan virus
CCc1ccc(CNc2cnc3c(c2)ncn3-c2ccc(NC(C)=O)cc2)cc1,11,Hantaan virus
CCOc1ccc(-n2cnc3cc(NCc4ccc(CC)cc4)cnc32)cc1N(C)C,250,Hantaan virus
